maintenance_id,version,asset_id,section_id,required_skill,job_type,urgency,risk_level,condition_score,minimum_duration_min,preferred_start_time,earliest_start_time,latest_end_time,status,created_at
M001,1,AST-01-01,SEC-NDLS-RE,TRACK,INSPECTION,HIGH,LOW,94.0,60,2026-09-01T08:00:00+05:30,2026-09-01T06:00:00+05:30,2026-09-02T06:00:00+05:30,REQUIREMENT_CREATED,2026-08-30T22:59:37.900369+05:30
M002,1,AST-01-05,SEC-NDLS-RE,BRIDGE,INSPECTION,EMERGENCY,CRITICAL,49.0,78,2026-09-09T08:00:00+05:30,2026-09-09T06:00:00+05:30,2026-09-09T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-08T20:19:15.039624+05:30
M003,1,AST-01-05,SEC-NDLS-RE,BRIDGE,INSPECTION,EMERGENCY,CRITICAL,49.0,78,2026-09-09T08:00:00+05:30,2026-09-09T06:00:00+05:30,2026-09-09T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-08T20:19:32.034550+05:30
M004,1,AST-01-05,SEC-NDLS-RE,BRIDGE,INSPECTION,NORMAL,CRITICAL,49.0,78,2026-09-10T08:00:00+05:30,2026-09-10T06:00:00+05:30,2026-09-10T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-08T21:59:33.147595+05:30
M005,1,AST-01-05,SEC-NDLS-RE,BRIDGE,INSPECTION,NORMAL,CRITICAL,49.0,78,2026-09-10T08:00:00+05:30,2026-09-10T06:00:00+05:30,2026-09-10T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-08T22:38:22.146110+05:30
M006,1,AST-03-03,SEC-AWR-BKI,OHE,INSPECTION,EMERGENCY,CRITICAL,49.0,86,2026-09-09T08:00:00+05:30,2026-09-09T06:00:00+05:30,2026-09-09T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-08T23:29:52.523054+05:30
M007,1,AST-04-03,SEC-BKI-JP,OHE,INSPECTION,EMERGENCY,CRITICAL,34.0,88,2026-09-09T08:00:00+05:30,2026-09-09T06:00:00+05:30,2026-09-09T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-08T23:55:27.851628+05:30
M008,1,AST-01-04,SEC-NDLS-RE,POINT_MACHINE,INSPECTION,HIGH,HIGH,62.0,86,2026-09-10T08:00:00+05:30,2026-09-10T06:00:00+05:30,2026-09-10T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-09T10:33:42.543896+05:30
M009,1,AST-03-04,SEC-AWR-BKI,POINT_MACHINE,INSPECTION,EMERGENCY,CRITICAL,34.0,88,2026-09-10T08:00:00+05:30,2026-09-10T06:00:00+05:30,2026-09-10T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-09T10:55:43.666680+05:30
M010,1,AST-01-05,SEC-NDLS-RE,BRIDGE,INSPECTION,EMERGENCY,CRITICAL,49.0,60,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T03:09:08.911220+05:30
