asset_id,asset_type,section_id,age_years,condition_score,previous_failures,days_since_maintenance,criticality,weather_condition,risk_level
AST-01-01,TRACK,SEC-NDLS-RE,2,94,0,18,LOW,CLEAR,LOW
AST-01-02,SIGNAL,SEC-NDLS-RE,6,84,0,65,MEDIUM,LIGHT_RAIN,LOW
AST-01-03,OHE,SEC-NDLS-RE,10,73,1,130,MEDIUM,CLOUDY,MEDIUM
AST-01-04,POINT_MACHINE,SEC-NDLS-RE,15,62,2,215,HIGH,CLEAR,HIGH
AST-01-05,BRIDGE,SEC-NDLS-RE,21,49,3,330,HIGH,CLEAR,CRITICAL
AST-01-06,TELECOM,SEC-NDLS-RE,28,34,5,480,CRITICAL,CLEAR,CRITICAL
AST-02-01,TRACK,SEC-RE-AWR,6,84,0,65,MEDIUM,LIGHT_RAIN,LOW
AST-02-02,SIGNAL,SEC-RE-AWR,10,73,1,130,HIGH,CLEAR,MEDIUM
AST-02-03,OHE,SEC-RE-AWR,15,62,2,215,HIGH,CLEAR,HIGH
AST-02-04,POINT_MACHINE,SEC-RE-AWR,21,49,3,330,CRITICAL,CLEAR,CRITICAL
AST-02-05,BRIDGE,SEC-RE-AWR,28,34,5,480,LOW,CLOUDY,CRITICAL
AST-02-06,TELECOM,SEC-RE-AWR,2,94,0,18,MEDIUM,CLEAR,LOW
AST-03-01,TRACK,SEC-AWR-BKI,10,73,1,130,HIGH,CLOUDY,MEDIUM
AST-03-02,SIGNAL,SEC-AWR-BKI,15,62,2,215,CRITICAL,CLEAR,HIGH
AST-03-03,OHE,SEC-AWR-BKI,21,49,3,330,LOW,LIGHT_RAIN,CRITICAL
AST-03-04,POINT_MACHINE,SEC-AWR-BKI,28,34,5,480,MEDIUM,CLOUDY,CRITICAL
AST-03-05,BRIDGE,SEC-AWR-BKI,2,94,0,18,MEDIUM,CLOUDY,LOW
AST-03-06,TELECOM,SEC-AWR-BKI,6,84,0,65,HIGH,CLEAR,LOW
AST-04-01,TRACK,SEC-BKI-JP,15,62,2,215,LOW,LIGHT_RAIN,HIGH
AST-04-02,SIGNAL,SEC-BKI-JP,21,49,3,330,MEDIUM,CLOUDY,CRITICAL
AST-04-03,OHE,SEC-BKI-JP,28,34,5,480,MEDIUM,CLEAR,CRITICAL
AST-04-04,POINT_MACHINE,SEC-BKI-JP,2,94,0,18,HIGH,LIGHT_RAIN,LOW
AST-04-05,BRIDGE,SEC-BKI-JP,6,84,0,65,HIGH,CLEAR,LOW
AST-04-06,TELECOM,SEC-BKI-JP,10,73,1,130,CRITICAL,CLEAR,MEDIUM
